timesteps,target_index,elapsed_time,target_x,target_y,target_z,distance,reward,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,valid_side_hit,whip_target_contact
40000,0,0.41000000000000003,1.1,-0.45,0.8,1.7898922843541996,0.4102756756784062,-0.5310968158725162,-2.0594994506031314,1.0074280239438935,-0.5120081002271483,-1.754489768993751,0.7078966766486625,0,0
40000,0,0.42,1.1,-0.45,0.8,1.785295264784964,0.771988100176324,-0.5575967714933733,-2.062757547533541,0.9900789402863305,-0.49506526679927493,-1.7618575885046641,0.7361081918227423,0,0
40000,0,0.43,1.1,-0.45,0.8,1.7793014915326557,1.0678142829555295,-0.5842906167832488,-2.0662344889381927,0.9728838114719112,-0.4772773353250992,-1.7690934754970555,0.7647781886428201,0,0
40000,0,0.44,1.1,-0.45,0.8,1.773092950703832,1.1151169806262788,-0.6112689950087191,-2.0704464293850076,0.9555842958047592,-0.4584319650063481,-1.7757410758904943,0.7940345002598753,0,0
40000,0,0.45,1.1,-0.45,0.8,1.7679019839746886,0.9028262532451075,-0.6387320273662933,-2.0757496157586655,0.9375931131927396,-0.43862959336549945,-1.7813471248031518,0.8232138229984708,0,0
40000,0,0.46,1.1,-0.45,0.8,1.7646320792343289,0.49662293156774445,-0.6669408433667103,-2.0821764582778566,0.9184467085497868,-0.41844419514776754,-1.7858758733278528,0.8515168052191394,0,0
40000,0,0.47000000000000003,1.1,-0.45,0.8,1.7632884826086306,0.08515542457074121,-0.6959946043374179,-2.089381688609893,0.8980220021326742,-0.3988726687824896,-1.7896564313443488,0.8783854819146077,0,0
40000,0,0.48,1.1,-0.45,0.8,1.7635612110479224,-0.2216907677603463,-0.7259116251621466,-2.096905124721699,0.8763631508216926,-0.3807586944894208,-1.7930351999975604,0.9037669512642411,0,0
40000,0,0.49,1.1,-0.45,0.8,1.765174186195118,-0.3408363151655114,-0.7566469287938441,-2.1044541764417555,0.853636923399823,-0.36452182430248636,-1.796438507824938,0.9275420241407191,0,0
40000,0,0.5,1.1,-0.45,0.8,1.7680002899223255,-0.4482234178916882,-0.7880933382415983,-2.1118367878134263,0.8299638666865602,-0.35031829401842857,-1.8003188539744148,0.9496069104404196,0,0
40000,0,0.51,1.1,-0.45,0.8,1.7719536568243257,-0.5474938300741916,-0.8201793726642087,-2.1189978447192512,0.8056586525063157,-0.33818175118517874,-1.8050164530201782,0.9695806778417185,0,0
40000,0,0.52,1.1,-0.45,0.8,1.7767131122509865,-0.6133018287350486,-0.8528691676178763,-2.1258065133467645,0.7808126117029898,-0.32834656862084977,-1.81097436208189,0.9870347488019148,0,0
40000,0,0.53,1.1,-0.45,0.8,1.7819285254240937,-0.6508486027787224,-0.8860732052009888,-2.1320253276200947,0.7555528077512016,-0.32102466652673833,-1.8186035827244058,1.0016254321483322,0,0
40000,0,0.54,1.1,-0.45,0.8,1.7871340377577674,-0.6476226430133604,-0.9196884933585959,-2.1374128927944724,0.7297561796607073,-0.31631432020840844,-1.827853628202304,1.0132616745027812,0,0
40000,0,0.55,1.1,-0.45,0.8,1.7916393658066319,-0.5833307993242348,-0.9536212573674456,-2.1417354821886123,0.703057898125146,-0.31408128665350626,-1.83872315803022,1.0219912808586558,0,0
40000,0,0.56,1.1,-0.45,0.8,1.7945985034968417,-0.4444753586037655,-0.9878485830551909,-2.1448287820924037,0.6752729020126625,-0.3139931978874561,-1.851061328851555,1.0279116485538522,0,0
40000,0,0.5700000000000001,1.1,-0.45,0.8,1.7952448857884253,-0.23780998267276107,-1.0224184418523266,-2.1464198977993347,0.6463251473921674,-0.31547229969027774,-1.8642962188782843,1.031155052062769,0,0
40000,0,0.58,1.1,-0.45,0.8,1.7933079098033524,-0.007658838626614289,-1.0573124025317804,-2.1462904038811565,0.616284497280328,-0.31775692579884024,-1.8783921086259672,1.0318350467789983,0,0
40000,0,0.59,1.1,-0.45,0.8,1.7890351164165568,0.20022563866465948,-1.0923056272894063,-2.1443446018508303,0.5852981704896892,-0.32057876172734484,-1.8931326786223022,1.0300314453754345,0,0
40000,0,0.6,1.1,-0.45,0.8,1.7827257870392987,0.3820845495404062,-1.1270125770143629,-2.140568018247958,0.553511849164934,-0.32399347067522455,-1.9084676664594435,1.0259152630088983,0,0
40000,0,0.61,1.1,-0.45,0.8,1.7746630831246537,0.5379125884368567,-1.1608217031124304,-2.1349934442580505,0.5210901592342854,-0.32783330336133376,-1.9245952857493913,1.0196206835727077,0,0
40000,0,0.62,1.1,-0.45,0.8,1.7656602198378613,0.6189555998825862,-1.1930626127353103,-2.1276423417536567,0.48827415477733743,-0.3321087434846586,-1.9418899534876464,1.0112206020092418,0,0
40000,0,0.63,1.1,-0.45,0.8,1.7557084184320846,1.6172844249558516,-1.2234878228588721,-2.1185967827594454,0.45531904858132627,-0.33696276692629845,-1.9603267086430352,1.0008354256697998,0,0
40000,0,0.64,1.1,-0.45,0.8,1.7452928875672913,1.9998551835580611,-1.251829684167382,-2.1078994663805837,0.4226065651531747,-0.34256123602783617,-1.9799742591475564,0.9886073989068326,0,0
40000,0,0.65,1.1,-0.45,0.8,1.7343442969355212,2.1112812099480847,-1.2779183808707453,-2.095577019399889,0.3904202368845066,-0.3486975274650767,-2.00082273686085,0.9748730076638051,0,0
40000,0,0.66,1.1,-0.45,0.8,1.7231397439848992,2.1641277898054296,-1.3016005860462907,-2.0816267853595893,0.35890029915182375,-0.3552051182423871,-2.0228621408919927,0.9602388557841044,0,0
40000,0,0.67,1.1,-0.45,0.8,1.7115276655587468,2.248861719877439,-1.3228980593404125,-2.066029065044365,0.32793952917322894,-0.36210545262962884,-2.0460541048184746,0.9454945913141444,0,0
