elapsed_time,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,reward,terminated,truncated,distance,whip_target_contact,valid_side_hit,arm_tip_ground_hit,robot_ground_contact,arm_self_contact
0.6,1.4087144236348688,-1.807355778961969,1.551914991625795,-0.1814444507236127,-1.890679574856882,-0.06892162684433484,2.418534655931966,0,0,1.5024331873509773,0,0,0,0,0
0.61,1.4260308840776963,-1.8009099820808374,1.5506543260817414,-0.16876639807402496,-1.8893223350840305,-0.05684435637505396,2.5434669219361763,0,0,1.4894467464508854,0,0,0,0,0
0.62,1.4412743586947852,-1.7942474869176486,1.549693132734377,-0.15601734518760185,-1.8889156944795003,-0.04435619484368025,2.466934337318546,0,0,1.476853423563473,0,0,0,0,0
0.63,1.4555649846868346,-1.7874503394539811,1.5475556357919056,-0.14429412094866612,-1.8881767814492163,-0.03060881774943057,2.235011700271619,0,0,1.46534855358159,0,0,0,0,0
0.64,1.4695601650500871,-1.7817762198568032,1.5462861489215771,-0.1324031739412462,-1.887279484346051,-0.0166146705456021,2.1800781378255505,0,0,1.4541051357733537,0,0,0,0,0
0.65,1.4834889392950086,-1.7764090689174994,1.5457906140368691,-0.1196223959634027,-1.8868524827662834,-0.0030838937330360623,2.095158976438593,0,0,1.4432579792136047,0,0,0,0,0
0.66,1.4962584240931203,-1.7704749281665246,1.544780102304828,-0.10704515946078305,-1.8866427700172805,0.010587207071260648,1.9864458153281361,0,0,1.4329145989560694,0,0,0,0,0
0.67,1.5064909136331786,-1.7647525667071726,1.5427355259513715,-0.09501865814671827,-1.886230507296904,0.02380964846532494,1.8862064870095179,0,0,1.4230589530217121,0,0,0,0,0
0.68,1.5150200500251745,-1.759016465579305,1.5406344971264312,-0.08200627154338226,-1.8871053294908475,0.03776888213490459,1.7714132708733883,0,0,1.4137867542671854,0,0,0,0,0
0.6900000000000001,1.521606241388275,-1.7529358564841107,1.5389664836565478,-0.06837487590800324,-1.8896204043079379,0.05174673381913802,1.6080638867159642,0,0,1.4053026645134405,0,0,0,0,0
0.7000000000000001,1.527997927492069,-1.7457499071043991,1.5363176593171979,-0.05566159400826372,-1.892451867962572,0.06618253532751785,1.4983906285069584,0,0,1.3973255544425767,0,0,0,0,0
0.71,1.5332410906172673,-1.7384906590071807,1.5344158665012253,-0.044184875583219825,-1.8962247381648543,0.08046691303107491,1.4183579315925288,0,0,1.389724998283527,0,0,0,0,0
0.72,1.5378050293528123,-1.7311272612759354,1.5322826904304687,-0.03215957470480933,-1.899753998684242,0.09326448697677255,1.3152846795084832,0,0,1.3826087208963813,0,0,0,0,0
0.73,1.5421639096215611,-1.723434914148228,1.530202727773916,-0.021611489368846777,-1.9035999905250773,0.10535725809403532,1.2291558231697377,0,0,1.3758741052140944,0,0,0,0,0
0.74,1.5471882639431296,-1.7157519774635868,1.5280258293521016,-0.010491489320456432,-1.9069157847360045,0.1172111205750487,1.137976922319978,0,0,1.3696097097354456,0,0,0,0,0
0.75,1.5525854721296823,-1.7088680328181962,1.5272275027161617,-0.001038079924172213,-1.9098230846527944,0.1277483377034615,1.0479728565557997,0,0,1.363784464042807,0,0,0,0,0
0.76,1.5586513684684906,-1.7010194238309604,1.5253271154727612,0.009198523962484785,-1.9140921643547977,0.13876494990249938,0.9768583971905542,0,0,1.358333166171241,0,0,0,0,0
0.77,1.5643461799560374,-1.6924058773840462,1.5224549535745422,0.018143456312463675,-1.9187492257293979,0.15033825113993984,0.846905852085571,0,0,1.3534634468877649,0,0,0,0,0
0.78,1.568456822260741,-1.684572601925619,1.518691263713703,0.026991510705419174,-1.9245061473410712,0.16259098561967664,0.765624250438006,0,0,1.3490050205125035,0,0,0,0,0
0.79,1.5717312737463427,-1.6768176961569048,1.5148620901485375,0.0354073796202318,-1.9303991585938656,0.175987783863369,0.6365591976605842,0,0,1.3451073914765108,0,0,0,0,0
0.8,1.5742577362260766,-1.6690196626172829,1.5125507448773088,0.0441287456859467,-1.9346830955435717,0.18883150362981785,0.5458327964485683,0,0,1.3416747798324165,0,0,0,0,0
0.81,1.576091313296206,-1.6612096202173507,1.5109944138638558,0.05302112174575047,-1.9371808802877275,0.20154369050759255,0.45163209051026004,0,0,1.3386808067509905,0,0,0,0,0
0.8200000000000001,1.5786413970235857,-1.6535162973853974,1.5087166917501715,0.06256617979858135,-1.9391089975291838,0.21276972474373732,0.33311381426967196,0,0,1.3361301305791164,0,0,0,0,0
0.8300000000000001,1.5804101374664277,-1.6460397910909879,1.5056047140054685,0.07168675697306635,-1.941241476324366,0.22455607930872215,0.20999813179752397,0,0,1.333975931665038,0,0,0,0,0
0.84,1.582646497022387,-1.6379922408793877,1.5028922959820232,0.07888701346598619,-1.942511585561395,0.2356324988271243,0.08779754146544833,0,0,1.3322711569364372,0,0,0,0,0
0.85,1.5835010314724818,-1.6296673390956018,1.499722998403554,0.0849739087684036,-1.943304099979408,0.24570002212950418,-0.025397049510169772,0,0,1.3309577097660132,0,0,0,0,0
0.86,1.584393716376112,-1.620532655958964,1.495545898809794,0.08979849947887357,-1.9447429541648396,0.25661511283442034,-0.14683274567008128,0,0,1.3301141823150409,0,0,0,0,0
0.87,1.584616548740824,-1.6111105607243845,1.4904228390100198,0.09333749099693106,-1.9455662966312204,0.2662495959641211,-0.24410737329361204,0,0,1.3296193797719473,0,0,0,0,0
0.88,1.5832917877906432,-1.6027864657234212,1.4854228757438137,0.09653670382010472,-1.9457279749282834,0.2745562235561987,-0.3243295533196309,0,0,1.3293887404696052,0,0,0,0,0
0.89,1.5811830086551597,-1.594544337040797,1.479805572441113,0.09863766196696597,-1.9444338075298875,0.28184172549615016,-0.32402305658064545,0,0,1.3292130319896205,0,0,0,0,0
0.9,1.5779331429495065,-1.58679169807696,1.4740247523012715,0.10153402771834481,-1.9414942152591932,0.2883321538177199,-0.3399075115904692,0,0,1.3291121274060234,0,0,0,0,0
0.91,1.5734203821740964,-1.5792202563073203,1.468117659742869,0.10397995504955522,-1.9378674785619368,0.2946488614841725,-0.3424759707016104,0,0,1.3290334592918873,0,0,0,0,0
0.92,1.5672786479490235,-1.5708782746433176,1.4620762300297272,0.10766500938797378,-1.9342412299883445,0.3012612731344788,-0.3167995812060997,0,0,1.3288998527036546,0,0,0,0,0
0.93,1.5606491710358614,-1.5623198985245672,1.4562548294176496,0.11212441670334601,-1.9300303900308804,0.3073523366590358,-0.3168257317201306,0,0,1.3287088652002481,0,0,0,0,0
0.9400000000000001,1.5540488298973318,-1.5538848180492117,1.4505995242845482,0.11519706097162963,-1.9259964391437576,0.3128483635586648,-0.3196309408572219,0,0,1.3284984846947296,0,0,0,0,0
0.9500000000000001,1.5471626061847412,-1.5453397338989054,1.444989977512445,0.11901897466968488,-1.9222246651358221,0.31757478448948545,-0.32837559215198975,0,0,1.3283641236356698,0,0,0,0,0
0.96,1.5408513346618213,-1.5369123134918734,1.4400905181552275,0.12329780532352785,-1.9206346826902727,0.32179591656895856,-0.3497997040344788,0,0,1.328307854757082,0,0,0,0,0
0.97,1.5355046189146797,-1.528713193723239,1.434678161455195,0.12772283435567064,-1.9191775980986403,0.32440159477656244,-0.3618249905499924,0,0,1.328256118166263,0,0,0,0,0
0.98,1.5308147745685714,-1.520132640621388,1.4301205703186468,0.1329745332944518,-1.9173698430788018,0.32724605961501074,-0.3730865069378205,0,0,1.3282432003217488,0,0,0,0,0
0.99,1.5269163050104704,-1.5108385528109183,1.424953441065591,0.13815559941204902,-1.9140834439797407,0.3301714820447235,-0.3889352493609361,0,0,1.3282681844982955,0,0,0,0,0
1.0,1.5244011120725067,-1.501413257108859,1.41938304764256,0.14380758960627332,-1.912205614136637,0.3340872031828674,-0.39739787065620263,0,0,1.3282808540610687,0,0,0,0,0
